Thread ID,Response Time (seconds)
4,3.7010
9,6.6095
2,9.8003
5,9.5813
3,9.1217
7,7.2779
10,8.7625
6,3.1356
9,2.3663
4,3.1350
2,2.7610
8,2.8835
1,2.7391
5,2.4344
6,3.6538
10,4.2138
11,3.6893
7,3.1040
3,2.8292
4,2.2738
9,2.2509
2,2.7238
8,2.0295
1,2.1061
6,2.3086
5,2.2944
10,2.3160
11,2.2096
7,4.4384
3,4.2802
9,3.6303
8,4.6243
4,4.8703
2,4.2114
1,2.6422
5,5.1832
10,5.3598
6,3.8269
11,2.1983
7,3.0275
3,4.1308
9,2.8246
8,2.1063
4,2.1366
2,2.1969
1,2.0269
10,4.0275
5,4.6378
6,2.8600
7,2.8633
9,2.5649
3,4.6077
11,4.8517
8,4.4486
2,2.0631
4,2.1591
1,2.3431
5,1.9878
